hex_id,Stress,Happy,Loneliness,Anxiety,Energy,EnvBeauty,EnvInteresting,EnvSafety,EnvCrowded,EnvironmentGreeness,DataPointCount
891f18840dbffff,2.0,5.0,2.0,1.0,5.0,3.0,4.0,4.0,1.0,5.0,1
891f18844a7ffff,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1
891f188450bffff,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,1
891f1884527ffff,1.0,4.0,1.0,1.0,3.5,3.0,4.0,5.0,1.0,3.5,2
891f1884533ffff,2.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,4.0,1
891f1884537ffff,1.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,1.0,5.0,1
891f1884547ffff,3.3,3.0,1.3,1.7,2.7,2.3,2.0,3.7,2.7,2.0,3
891f18845a3ffff,1.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,5.0,1
891f1884d0bffff,2.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,1
891f1884d47ffff,3.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,1
891f1884dc3ffff,2.0,4.0,1.0,2.0,3.0,5.0,3.0,5.0,2.0,5.0,1
891f1884dd7ffff,1.2,4.0,2.8,1.0,2.8,4.6,3.4,5.0,1.0,4.8,5
891f1886037ffff,1.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,1
891f1886193ffff,1.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,5.0,1
891f1886673ffff,3.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,2
891f188680fffff,2.0,2.5,2.5,1.0,2.5,1.0,1.0,3.0,1.0,1.0,2
891f1886843ffff,2.4,3.1,1.2,1.6,2.7,4.6,4.0,5.0,1.2,4.1,9
891f1886863ffff,2.0,3.0,2.5,1.0,2.0,5.0,5.0,5.0,1.0,5.0,2
891f1886867ffff,2.8,3.8,1.5,1.0,2.2,5.0,4.2,5.0,1.0,3.8,4
891f1886913ffff,1.8,3.6,1.3,1.2,3.2,2.4,1.2,4.9,1.1,3.1,10
891f1886927ffff,2.0,4.0,2.0,1.0,4.0,,,5.0,1.0,,1
891f188692bffff,1.5,4.0,1.0,1.0,3.5,,,5.0,1.0,,2
891f188692fffff,1.0,4.5,1.0,1.0,3.5,,,5.0,1.0,,2
891f1886963ffff,1.0,4.0,1.0,1.0,3.3,4.8,4.5,5.0,1.0,4.0,6
891f188696fffff,1.0,3.0,1.0,1.0,4.0,3.0,3.0,5.0,1.0,3.0,1
891f18869a7ffff,1.5,4.5,1.5,1.0,3.5,3.0,3.5,5.0,2.5,4.0,2
891f18869abffff,3.0,3.0,2.0,1.0,2.0,2.0,4.0,5.0,3.0,5.0,1
891f1886aa3ffff,1.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,2.0,1
891f1886b03ffff,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,5.0,1
891f1886b07ffff,1.0,4.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,3.0,1
891f1886b67ffff,1.0,5.0,1.0,1.0,5.0,2.0,1.0,5.0,1.0,3.0,1
891f1886b6fffff,1.8,4.0,1.0,1.0,3.5,4.0,2.5,5.0,1.0,5.0,4
891f1886b83ffff,4.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,1
891f1886ba7ffff,2.5,3.0,2.5,1.0,3.5,1.0,1.0,4.5,1.0,5.0,2
891f1886e23ffff,4.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,1.0,5.0,1
891f1886e4fffff,3.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,5.0,1
891f1886e7bffff,1.0,4.0,1.5,1.0,3.5,5.0,4.0,5.0,1.0,5.0,2
891f188714fffff,2.0,3.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,5.0,1
891f1894927ffff,4.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1
891f1896b33ffff,2.0,4.0,1.0,1.0,3.5,4.0,4.0,5.0,1.0,3.5,2
891f1896b77ffff,3.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,1
891f1896bbbffff,2.7,4.3,1.7,1.9,2.5,4.2,4.1,4.9,1.2,3.5,11
891f18b005bffff,2.0,4.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,3.0,1
891f18b0193ffff,4.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,1
891f18b0197ffff,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,4.0,1
891f18b01a7ffff,1.0,5.0,1.0,1.0,4.0,2.0,2.0,5.0,1.0,3.0,1
891f18b020bffff,3.0,3.0,1.0,2.0,2.0,5.0,4.0,5.0,1.0,5.0,1
891f18b0213ffff,3.0,4.0,1.3,2.7,2.3,4.0,3.0,5.0,1.0,4.0,3
891f18b0257ffff,3.0,3.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,5.0,1
891f18b026fffff,3.5,3.5,2.0,2.0,4.0,2.0,2.0,3.5,2.5,3.0,2
891f18b0273ffff,2.2,3.8,1.0,1.2,3.0,5.0,5.0,5.0,1.0,5.0,5
891f18b0277ffff,3.0,4.0,1.0,1.0,3.3,5.0,4.0,5.0,1.0,5.0,3
891f18b028fffff,2.8,2.2,2.8,1.8,1.8,4.5,3.8,4.8,1.0,4.2,6
891f18b035bffff,1.0,3.5,2.5,1.0,1.0,4.5,3.5,5.0,1.0,5.0,2
891f18b040fffff,2.0,5.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,3.0,1
891f18b0457ffff,2.0,5.0,1.0,1.0,4.0,3.0,4.0,5.0,3.0,5.0,1
891f18b0467ffff,2.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,1
891f18b0493ffff,2.4,3.8,1.0,1.8,2.6,4.5,3.6,5.0,1.1,2.3,12
891f18b04b3ffff,1.0,4.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,4.0,1
891f18b04cfffff,2.0,4.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,4.0,1
891f18b052fffff,1.0,5.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,1
891f18b0537ffff,3.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0,1.0,4.0,1
891f18b0563ffff,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,1
891f18b0567ffff,2.0,4.0,1.0,1.0,2.0,4.0,3.0,5.0,1.0,5.0,1
891f18b056bffff,2.1,2.9,2.0,1.0,3.2,3.3,2.4,4.9,1.1,4.0,10
891f18b056fffff,2.5,3.5,2.0,1.0,3.5,2.5,3.5,5.0,1.0,4.5,2
891f18b0573ffff,1.5,3.0,3.5,1.0,3.0,3.0,3.0,4.5,1.0,4.0,2
891f18b0577ffff,1.0,4.0,1.0,1.0,4.0,5.0,4.0,4.0,1.0,4.0,1
891f18b05a3ffff,2.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,1.0,5.0,1
891f18b083bffff,3.0,3.0,2.0,2.0,2.0,4.0,3.0,5.0,1.0,4.0,1
891f18b0ba3ffff,1.0,5.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,1
891f18b0bbbffff,1.0,4.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,1
891f18b0c6fffff,1.0,4.0,1.0,1.0,4.0,4.0,4.0,5.0,1.0,4.0,1
891f18b0cabffff,3.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,1
891f18b0d07ffff,3.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,1
891f18b0d33ffff,2.7,3.3,1.3,2.3,3.3,3.0,3.0,4.7,2.0,4.3,3
891f18b0da3ffff,4.0,3.0,1.3,3.7,2.0,3.0,3.7,4.0,1.7,3.0,3
891f18b0da7ffff,3.0,3.0,1.0,2.0,1.0,4.0,3.0,5.0,1.0,3.0,2
891f18b0dabffff,2.0,4.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,2.0,1
891f18b0dafffff,2.7,3.7,2.0,1.7,3.7,2.7,2.3,4.0,2.3,2.3,3
891f18b0ea3ffff,2.5,4.5,1.0,1.0,3.5,4.5,3.0,5.0,1.5,4.0,2
