hex_id,Stress,Happy,Loneliness,Anxiety,Energy,EnvBeauty,EnvInteresting,EnvSafety,EnvCrowded,EnvironmentGreeness,DataPointCount
891f1884537ffff,1.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,1.0,5.0,1
891f1884547ffff,3.5,2.5,1.0,1.5,2.0,2.5,2.0,3.5,2.5,1.0,2
891f1884d0bffff,2.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,1
891f1884d47ffff,3.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,1
891f1886037ffff,1.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,1
891f1886193ffff,1.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,1.0,5.0,1
891f1886673ffff,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1
891f188696fffff,1.0,3.0,1.0,1.0,4.0,3.0,3.0,5.0,1.0,3.0,1
891f1886aa3ffff,1.0,3.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,2.0,1
891f1886b03ffff,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,5.0,1
891f1886b07ffff,1.0,4.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,3.0,1
891f1886b67ffff,1.0,5.0,1.0,1.0,5.0,2.0,1.0,5.0,1.0,3.0,1
891f1886b6fffff,4.0,4.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,5.0,1
891f1886e23ffff,4.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,1.0,5.0,1
891f1886e4fffff,3.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,5.0,1
891f1894927ffff,4.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1
891f1896b77ffff,3.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,1
891f18b005bffff,2.0,4.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,3.0,1
891f18b0197ffff,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,4.0,1
891f18b01a7ffff,1.0,5.0,1.0,1.0,4.0,2.0,2.0,5.0,1.0,3.0,1
891f18b0467ffff,2.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,1
891f18b04b3ffff,1.0,4.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,4.0,1
891f18b04cfffff,2.0,4.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,4.0,1
891f18b052fffff,1.0,5.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,1
891f18b0537ffff,3.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0,1.0,4.0,1
891f18b05a3ffff,2.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,1.0,5.0,1
891f18b0da7ffff,3.0,3.0,1.0,2.0,1.0,4.0,3.0,5.0,1.0,3.0,2
891f18b1cc7ffff,2.0,3.0,1.0,1.0,3.0,4.0,3.0,5.0,2.0,5.0,1
891f18b2057ffff,2.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1
891f18b2063ffff,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,1.0,1
891f18b20cbffff,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1
891f18b210bffff,4.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,1
891f18b2123ffff,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1
891f18b212fffff,3.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,1.0,3.0,1
891f18b2137ffff,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1
891f18b2163ffff,2.5,4.0,2.0,2.0,2.0,1.5,3.0,3.0,4.5,1.5,2
891f18b216bffff,2.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,1
891f18b217bffff,5.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,1
891f18b2183ffff,1.0,5.0,1.0,1.0,4.0,5.0,4.0,5.0,1.0,3.0,1
891f18b218bffff,3.0,4.0,1.0,1.0,4.0,3.0,5.0,5.0,4.0,4.0,1
891f18b218fffff,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1
891f18b21bbffff,3.0,2.0,1.5,1.0,1.5,1.5,1.0,4.0,3.5,1.0,2
891f18b21c7ffff,2.5,3.5,2.0,2.0,2.5,4.5,4.0,4.0,2.0,3.0,2
891f18b2207ffff,4.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1
891f18b221bffff,2.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,1.0,4.0,1
891f18b2287ffff,4.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,1.0,3.0,1
891f18b22c7ffff,3.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,1.0,5.0,1
891f18b2403ffff,1.3,4.0,1.7,1.0,4.0,3.0,2.3,4.0,2.7,2.3,3
891f18b2407ffff,1.0,4.0,1.0,1.0,3.0,4.0,3.0,5.0,2.0,4.0,2
891f18b241bffff,3.0,4.0,1.5,1.5,3.5,3.0,3.0,4.0,3.5,1.0,2
891f18b2427ffff,2.5,4.0,3.0,2.0,2.5,3.0,4.5,5.0,4.0,2.5,2
891f18b242bffff,4.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,1
891f18b2433ffff,4.0,3.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,1
891f18b2437ffff,3.0,4.0,1.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,1
891f18b244bffff,2.0,5.0,1.0,1.0,4.0,3.0,3.0,5.0,3.0,4.0,1
891f18b248bffff,3.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,2.0,1.0,1
891f18b2497ffff,2.0,3.5,1.5,1.5,2.5,2.0,1.5,3.5,3.5,2.0,2
891f18b24a7ffff,4.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,1
891f18b24afffff,2.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,1
891f18b24b7ffff,3.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,1
891f18b24bbffff,2.0,3.5,1.0,3.0,3.5,2.5,3.0,3.5,2.5,2.5,2
891f18b24dbffff,5.0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,1
891f18b2503ffff,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1
891f18b250bffff,4.0,2.5,1.5,2.5,3.0,1.0,1.0,3.5,3.5,1.0,2
891f18b250fffff,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1
891f18b2517ffff,1.0,4.0,1.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,1
891f18b2523ffff,2.5,3.0,3.5,2.5,2.5,1.0,3.0,3.5,2.5,1.0,2
891f18b2527ffff,1.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,1
891f18b2547ffff,4.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,1
891f18b256fffff,1.0,4.0,2.0,1.0,4.0,4.0,4.0,5.0,2.0,4.0,1
891f18b2587ffff,1.0,5.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,1.0,1
891f18b259bffff,4.0,3.0,2.0,4.0,4.0,1.0,4.0,5.0,3.0,1.0,1
891f18b25abffff,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1
891f18b25b7ffff,5.0,1.0,5.0,5.0,2.0,2.0,3.0,2.0,4.0,2.0,1
891f18b25cbffff,2.0,3.0,2.0,1.0,3.0,2.0,2.0,5.0,1.0,2.0,1
891f18b2607ffff,3.5,2.5,1.0,1.0,1.5,1.0,1.5,3.5,2.5,1.5,2
891f18b2633ffff,3.0,3.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,3.0,1
891f18b263bffff,2.0,3.0,2.0,1.0,3.0,3.0,5.0,5.0,4.0,1.0,1
